sex,age_min,age_max,population
男,0,4,1924000
男,5,9,2298000
男,10,14,2615000
男,15,19,2805000
男,20,24,3197000
男,25,29,3400000
男,30,34,3316000
男,35,39,3414000
男,40,44,3786000
男,45,49,4229000
男,50,54,4932000
男,55,59,4358000
男,60,64,3874000
男,65,69,3484000
男,70,74,3602000
男,75,79,3888000
男,80,84,2415000
男,85,89,1489000
男,90,94,646000
男,95,99,148000
男,100,104,12000
女,0,4,1830000
女,5,9,2192000
女,10,14,2491000
女,15,19,2663000
女,20,24,2993000
女,25,29,3196000
女,30,34,3124000
女,35,39,3258000
女,40,44,3670000
女,45,49,4117000
女,50,54,4828000
女,55,59,4331000
女,60,64,3935000
女,65,69,3668000
女,70,74,4005000
女,75,79,4706000
女,80,84,3412000
女,85,89,2544000
女,90,94,1551000
女,95,99,549000
女,100,104,80000
